地点,薪资,职位,岗位需求
成都,10K-18K,JAVA服务端高级工程师（即时通讯）,"岗位职责1、负责企业即时通讯系统/IM系统的设计、开发和优化工作；2、理解和掌握常用架构设计、性能优化、高可用保障理念，并能灵活运用于核心链路系统的优化；3、担任IM服务端开发，负责其中的部分功能模块，进行API设计与实现；4、能够独立完成相关业务的系统分析、设计和实现；5、规范文档的编写、维护，以及其他与项目相关工作；6、参与Java 相关基础系统设计和实现；岗位要求：1、精通Java，熟悉常用框架，如Spring, MyBatis，SpringMVC，有Spring Cloud/SpringBoot/微服务经验者；2、熟练掌握JAVA基础，熟悉并发情况下的线程安全等知识点。3、3年以上大型JavaEE软件开发，了解Web Service/微服务的概念，具有良好的架构意识；4、熟悉至少一种关系数据库，熟悉消息队列/MySQL/Redis/NoSQL/Kafka，MongoDB，有实际应用经验；5、Java Socket编程，Java NIO，Netty等网络编程相关知识（熟悉TCP协议/UDP协议）；6、对负载均衡，高可用等有一定认识，有Netscaler，Nginx或LVS等使用经验；7、从事过即时通讯IM相关产品或项目开发，有海量用户分布式系统开发经验；8、负责后台服务端整体设计和核心功能开发；负责技术选型、框架搭建和技术体制确定；9、负责网络通讯、数据库开发、文件上传/下载、在线支付等功能开发；10、负责IM服务器架构搭建、数据库搭建、后台程序开发、及与手机客户端接口的开发；"
长春-二道区,6K-12K,高级java开发工程师,岗位描述：1、深入理解需求，做好系统设计以及任务周期安排；2、根据产品或者项目业务功能设计、开展实现设计分析、撰写实现设计书等文档；3、参与公司现有产品维护或新产品研发、项目开发等；4、根据项目经理或者产品产品经理要求完成功能开发；5、测试、正式上线保证系统正常运行等；
西安,10K-20K,Java开发工程师,岗位职责：1、网站程序开发、系统开发，主要了解开发程序，云服务器维护；2、熟悉开发框架；3、根据需求完成相关模块的制作和开发，并对项目架构有一定了解；4、有学习能力，能发现项目中存在的问题，并解决或者优化。任职要求：1. 有5年以上基于Java架构的大中型项目开发经验；2. 熟悉Linux环境下编程、调试和测试技巧；3. 熟悉网络编程、分布式系统架构，有分布式系统开发经验者优先；4. 熟悉高并发系统，熟悉电商网站开发经验者优先；
武汉-洪山区,8K-15K,高级Java工程师,"岗位职责：1、负责公司产品服务端核心功能的开发；2、对产品现有功能进行重构，优化代码；3、参与产品设计评审，理解业务需求，进攻需求的详细设计；4、学习互联网前沿技术，并将技术与现有系统结合；5、参与核心系统的架构设计，重构、优化现有的技术架构，应对海量数据与高并发。任职要求：1、大专及以上学历，5年以上java开发经验，了解Java开源框架者，如spring,mybatis、dubbo等，熟悉io、多线程、集合等基础框架；2、精通SQL，熟悉数据库设计及优化（MySQL）；3、熟悉JavaScript, CSS, html，html5等，有使用jQuery, B-JUI，vue.js等web前端页面组件优先；4、能熟练使用Git、SVN,了解Maven，会熟练使用Linux命令；5、能熟练使用消息中间件rocketmq、mongodb、缓存Redis；6、熟练使用tomcat，weblogic等相关容器；7、熟练掌握SPRING、SPRINGMVC、MYBATIS等主流开发框架；具有一定的系统架构设计能力；8、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力；9、有过金融行业相关工作经验者优先考虑；10、退伍军人、党员优先考虑。"
济南,6K-12K,java开发工程师,任职要求：1、2年以上经验，熟悉J2EE及其相关技术；2、熟练使用Spring、SpringMVC、MyBatis、SpringBoot、Shiro、Activiti等主流开源框架；3、熟悉Redis和EHCache等缓存；4、独立或主要负责过软件项目，有过需求分析和编写开发文档经验；5、做过java网络通信TCP、UDP服务端优先考虑。
天津-河东区,4K-6K,初级Java开发工程师,"岗位职责：1、根据开发计划，进行编码和单元测试；2、负责应用系统和产品的维护和升级；3、负责协助技术总监进行技术评测，bug处理等。任职资格：1、大专以及大专以上学历；2、计算机或理工专业；3、了解java、web等开发技术，比如Spring, Struts，Javascript, html, css；4、具备良好的沟通能力和优秀的团队协作能力和团队合作精神。福利待遇：1、合理优厚的薪金 +绩效奖金+双休+五险一金+十三薪+带薪年假+员工旅游+员工生日会+节日礼物；2、签订正式劳动合同；3、每年享受国家规定的带薪年假、法定节假日等福利。"
北京,15K-20K,高薪诚聘  java工程师  急急急,1、计算机或相关专业大学本科毕业，3年以上JAVA实际项目开发经验；2、有扎实的JAVA基础，JVM、JAVA多线程、并发及网络通信经验；3、熟悉主流开源应用框架，精通Spring框架，熟悉使用至少一种ORM框架如Hibernate、MyBatis；4、熟悉关系型数据Oracle、Sqlserver等，以及相应数据库调优、SQL优化；5、熟悉HTML、Javascript、Ajax、CSS、JQuery等WEB前端技术；6、熟悉Linux系统，并能使用常用的服务器命令；7、具备良好文档编写能力；
合肥,10K-15K,java高级工程师,"参与软件工程系统的设计、开发、测试等过程；1、负责工程中主要模块功能的代码实现,解决工程中的关键问题和技术难题；2、指导初中级开发人员，保质完成团队工作；3、按时按质完成公司下达程度开发、系统评测等工作任务；4、参与线上运维与需求沟通；任职资格：1、五年以上工作经验，具备独立解决问题能力；2、能够快速的适应新环境，有较强的学习意识和团队意识。同时还要能承受一定的工作压力3、熟悉J2EE、Spring、myBatis、Ajax/SQL，熟悉Linux操作。4、熟练掌握数据结构、常用算法与多线程，对jvm性能优化有一定经验；5、对分布式技术框架zk、redis、dubbo等有实际使用经验；"
济宁,4K-6K,java开发工程师,公司拥有独立知识产权的ERP和WMS系统，是深圳海王集团的信息系统研发中心。目前，正为海王体系内的全国各级公司进行器械信息系统研发和上线，为扩充信息团队，现公开招聘开发工程师数名。岗位职责及任职要求：：1、具备需求分析与系统设计经验；2、熟悉软件技术文档的编写；具备良好的文档编制习惯和代码书写规范；3、熟练使用主流开源框架，包括Spring、SpringMVC/Mybatis/maven/log4j/junit等；4、熟悉各种Web前端技术，包括XHTML/XML/Ajax/CSS/Javascript/jQuery/EasyUI等，有页面美工经验者优先；5、熟悉ORACLE、SQLSERVER、MYSQL等数据库开发技术及相关工具，熟练掌握SQL和存储过程的编写，熟悉事务的工作原理；6、具备需求分析与系统设计经验；7、熟悉软件技术文档的编写；具备良好的文档编制习惯和代码书写规范；8、具备扎实的开发技能，对面向对象编程有较深入的理解9、学习能力强，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力；
深圳,10K-20K,高级JAVA工程师,"岗位职责：1、参加基于Java技术的企业级应用开发；2、参与系统分析与设计，并负责完成核心代码；3、能够带领团队成员完成项目的开发工作；4、根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档；5、参与软件需求与设计审核和代码检查。任职资格：1、熟悉Java和J2EE编程，有3年以上的开发经验，熟悉Servlet/JSP、JDBC、EJB、JMS、Web Service、HTML、JavaScript、CSS等；熟悉HTTP、HTTS等常见通信协议；2、具备企业应用系统开发与架构设计经验,对当前流行的技术、开源框架有清晰的认识以及独到的见解，掌握struts、hibernate、spring等主流框架的开发和配置经验；3、熟悉至少一种应用服务器中间件的使用、配置和管理，如Weblogic、Websphere、JBoss、Tomcat等4、具有丰富的数据库开发经验，熟悉Oracle、DB2等一个或多个主流数据库;5、熟悉面向对象的分析和设计技术，有较强的分析和设计能力，熟悉设计模式、UML建模等，掌握powerdesigner、rational、visio等设计软件； 6、具有金融行业、企业支付、ERP等软件开发经验者优先考虑。"
济南,6K-12K,java 工程师,"岗位职责：1、根据开发规范与流程完成模块的编码 ；2、独立进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；3、完成开发组长布置的量化工作，独立处理和解决所负责的任务；4、完成上级领导安排的其他工作任务。岗位要求：1、熟悉主流开源应用框架，如truts2,Spring MVC,Spring,Hibernate,MyBatis；2、 熟悉J2EE平台，熟悉jsp,servlet,html/css/js技术；3、 熟悉JSON，Jquery,HTML5等开发技术，有较好的面向对象的程序设计思想和应用经验；4、 熟悉调用和构建webservice服务；5、熟练使用Maven,Eclipse,PowerDesiger，tomcat等开发工具和环境；6、熟悉Oracle或MySQL等常用数据库,了解并能动手操作Linux系统；7、本科两年以上工作经验；8、有过电商平台开发经验2年以上的优先考虑。福利待遇：周末双休+五险一金（入职当月缴纳且按照工资基数缴纳）+节假日全休+节日福利+高温补贴+采暖补贴+年终奖金PS：工作氛围融洽，扁平化管理，有意向的小伙伴可以直接投递简历，HR收到简历会进行岗位匹配筛选，筛选合格会尽快通知面试办公地址：历城区 汉峪金谷"
广州,10K-15K,高级JAVA软件工程师,工作职责： 1、组织实施互联网云平台软件产品的研发工作； 2、产品需求分析、设计和文档编写； 3、负责已开通项目的故障应对工作； 4、完成直接上级交办的其他工作任务。 职位要求： 1、熟练掌握Struts、Spring、Hibernate、MyBatis等主流开源框架；2、熟练应用JQuery、CSS、JavaScript、Ajax、Maven等技术，UI经验丰富者优先；3、掌握大型数据库操作，SQL语法熟练，会PL/SQL脚本语言者优先；4、熟悉Linux操作系统，熟练掌握命令操作、虚拟机、远程工具、SHELL等。5、逻辑思维能力强，对系统模块能够快速分解定位，有大型项目分工协作经验者优先考虑；6、性格踏实、勤奋、沟通学习能力强，具备较强的创新能力、敬业精神和团队协作能力。加入公司，你将享受和获得：让你任性买买买：行业内具有竞争力的薪酬及合理激励的调薪体制，购买六险一金，各类政策补助和年终奖金上班不用挤一挤：覆盖全广州近30条线路的班车，总有一条适合您，轻松远离3号线轻松变做广州人：解决政策范围内人员档案及落户广州不用辞职也可去看世界：五天工作制，国家法定假期齐全，年假、婚假、产假等一天都不能少梦想存取，取之有道：技术、管理双向发展通道与晋升机制，各类完善的培训、业界大牛大讲堂等大脑&身体运动一个都不能少：丰富的部门旅游、各类球赛、趣味运动会、K歌、摄影等员工文化活动午餐没烦恼：两层大饭堂，小炒、蒸笼、铁板、锅仔、广式卤水、广式茶点、西餐、营养餐应有尽有认领导师：带你融入团队、教你工作流程、传你独门绝技
重庆,6K-8K,Java开发工程师,岗位要求：1、大专及以上学历；2、熟悉面向对象的设计和开发过程，熟练掌握主流SSH框架和SSM框架；3、能较好使用JSP，JavaScript，HTML，CSS等WEB开发技术；4、熟练掌握至少一种常用数据库（Oracle、MySql、SqlServer）；5、吃苦耐劳，有良好的团队合作精神岗位职责：1、在上级的领导和监督下定期完成量化的工作要求；2、能独立处理和解决所负责的任务；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；舒适的办公环境，和谐愉快的工作氛围，热情友好的团队。加入我们，我们将为你提供：1、提供多方向畅通的职业发展通道和无天花的职业发展空间，尽可能挖掘每个人的潜质；2、提供前沿的行业和技能等方面的培训，让你有更大的上升空间；3、亲民领导：所有管理层领导都非常NICE，人性化管理；4、职业量身：总经理将在开放日与您一对一定制职业发展规划；5、人际关系：我们这里人际关系简单，只对事，不对人，杜绝办公室政治。你以为这样就完了吗？继续往下看，千万不要、不要、不要停：1、具有竞争力的薪酬体系、一年两次调岗调薪考核、丰厚年终奖等你来拿；2、丰富的日常员工小福利（1）法定节假日、婚假、产假、带薪年假等，必须人性化；（2）下午茶供、现磨咖啡、零食供应，常备小药箱，楼下合作健身房敞开用；（3）“各类公司活动”：年会旅游嗨翻天，周年庆、户外活动、节日趴体、每月员工生日会，劳逸结合才有干劲儿；3、畅通的员工建议/意见/投诉通道，合理即有奖，就怕你憋着。我们的目标是：把公司建设成家一样幸福的地方。团队中，有来大企业工作过的不老腊肉们，也有刚毕业的青涩小鲜肉。我们年轻，喜爱运动，充满激情，我们想成为一家伟大的公司，并为之奋斗努力，如果你也和我们怀揣梦想，欢迎各位走过路过的小伙伴们随时加入我们，一起闯出个美好未来！
西安,6K-10K,java开发工程师,"1、在上级的领导和监督下定期完成量化的工作要求；2、能独立处理和解决所负责的任务；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；5、进行编制项目文档和质量记录的工作；6、维护软件使之保持可用性和稳定性。任职资格1、有相关建筑行业研发经验的优先；2、计算机相关专业背景，本科以上学历；3、有3年以上的web和java开发工作经验；4、熟悉j2ee,spring，mybatis框架；5、熟悉javascript,jquery,ajax,vue等脚本框架；6、熟悉B/S构架的应用程序开发；7、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力"
成都,8K-16K,高级JAVA开发工程师,任职要求1、大学本科以上学历，数学、计算机相关专业，良好的沟通能力;2、有4年以上Java开发经验，熟悉J2EE规范及语法，熟悉多线程/异常处理/容器/泛型/注解/多态/SOA等基础知识；3、熟悉J2EE开发及部署(MVC模式，SpringBoot、Mybatis等框架);4、熟悉常用设计模式，具有良好的接口设计能力和代码重构经验；5、熟悉Linux、MySQL、tomcat、nginx、redis、MongoDB等主流开源工具的配置和使用；6、熟悉Web前端开发技术，熟练掌握Jquery、BootStrap、VUE中一种前端js库;7、有微服务开发经历，熟悉Dubbo，zookeeper优先考虑；工作职责：1、根据项目开发进度和任务分配，进行软件开发；2、自行进行代码走查和单元测试；3、负责产品已交付功能的优化、重构，保证系统的质量；4、设计和开发具有可扩展性的系统架构， 能够支持大数据量，高并发访问；5、负责解决核心技术问题，对技术方案进行决策。
成都-高新区,10K-13K,高级Java工程师,岗位职责：1、指导初中级研发开发；2、设计子系统；3、优化研发框架；4、在Linux下，用JAVA编程。任职要求：1、5年以上JAVA开发经验，扎实的语言功底，有LIMS、OA、EPR、HIS等业务管理软件研发经验者优先；2、熟练使用JAVA语言进行编程，熟悉tomcat等主流web容器的配置和部署；熟悉开源架构，如spring，mybatis等；3、熟悉HTML5、JavaScript，ajax开发等相关WEB技术；熟悉spring事务管理机制4、熟悉redis、memcached等缓存框架5、熟悉gradle、maven、junit等开源工具；6、熟悉mysql，熟练掌握SQL语句及如何优化sql的执行效率；7、良好的沟通表达能力、学习及领悟能力，较强的责任心与团队精神。8、熟悉分布式部署，熟悉dubbo、熟悉zookeeper优先。
郑州,6K-12K,java开发工程师,"岗位职责：1、负责项目架构设计和系统功能分析及设计，并编写相关文档；2、负责核心模块开发，及系统稳定性开发，性能优化等相关工作；3、指导初、中级工程师完成程序设计和开发工作；4、技术预研，探索并应用项目相关前沿技术。任职要求：1、1年及以上使用JAVA开发的经验，本科或以上学历，计算机相关专业；2、熟悉J2EE，JAVA WEB编程技术,对各种开源的框架如Spring、SpringMVC、MyBatis等有深入的应用和优化经验；3、掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验；4、熟悉MySql或Oracle数据库的应用与开发，熟练掌握各种SQL优化技巧；5、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用、解决问题；6、学习能力强，适应能力好；具备耐心/细心的品质，具有良好的团队协作和沟通能力及责任心；7、喜欢尝试最新的技术，从技术趋势和思路上能影响技术团队。8、薪资水平：应届-3年（4000-8000），3-5年（6000-10000），5-10年（8000-15000）工作地址：郑州市金水区经三路48号或经三路99号"
成都-高新区,8K-12K,java工程师,1.具有3年以上java开发相关工作经验，熟悉OOP，能独立承担和推进开发工作，对代码优化，代码规范有一定的经验；2.熟悉SNMP，netconf，telnet，tr069；3.熟悉linux，mysql，spring，nginx，mybaties，熟悉oop，mvc，理解常见设计模式；4.了解SDN技术；5.具有一定HTML、CSS、JAVASCRIPT基础，可以使用javascript、Ajax、Div+CSS等技术；
三亚,5K-10K,java工程师,岗位要求：1、参与项目系统设计，完成软件项目的程序开发工作；2、负责产品需求分析、设计和文档编写；3、根据产品需求和设计进行软件开发；4、根据市场需求提供售前支持；5、完成直接上级交办的其他工作任务。资格要求：1、熟悉JAVA、JSP、Servlet、JavaScript、XML、JDBC等J2EE相关编程技术，熟练使用Eclipse等开发工具、开发过程中Ant、VSS等辅助工具；2、熟练使用Spring、Struts、Hibernate三大框架编程，精通SQL语言，具备mvc实践经验和Oracle、SqlServer、MySQL等大型数据库开发经验；3、具备良好的沟通能力、协调能力和问题解决能力；4、具备较强的需求分析和系统设计能力，良好文档编写能力、英语基础和读写能力；5、有B2B、B2C网站开发经验者优先。
郑州,4K-6K,初级java开发工程师,岗位职责：1、在项目负责人带领下定期完成量化的工作；2、能独立处理和解决所负责的任务；3、根据开发进度和任务分配，完成相应模块的开发、编程任务；4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；5、进行编制项目文档和质量记录的工作；6、参与项目实施、维护使之保持可用性和稳定性。任职要求：1、熟悉Java基础知识、JDBC编程、Java Web开发、Servlet等；2、熟悉目前流行的开源框架（Struts、hibernate、Spring）优先；3、掌握Javascript基础，掌握AJAX，有jQuery经验优先；4、熟悉 Eclipse、Myeclipse、svn、Navicat for MySQL、PLSQLDev开发工具；5、掌握至少一种Java应用服务器（JBoss，Weblogic，Tomcat等）；6、能熟练使用标准SQL结构化查询语言；7、掌握MySQL、MSSQL Server，Oracle等主流数据库中的一种；8、熟悉面向对象的设计，具有较强的学习能力、逻辑思维能力、良好的编程技巧和编程风格；9、敬业、责任心强、对业务和技术具备很好的钻研精神，有高度的团队合作精神。
杭州,7K-14K,java开发工程师,"岗位职责：1、从事公司应用软件产品的开发和技术维护；2、在进度规定的范围内高质量完成指定模块的设计、开发任务；3、参与项目文档的编写。任职要求：1、计算机相关专业专科及以上学历，1-3年工作经验；2、有微服务工作经验者优先；3、熟悉J2EE体系架构,熟练使用JAVA、JSP、JavaScript、HTML、XML、CSS等WEB前端页面开发技术，熟练应用eclipse开发工具；4、熟悉MVC设计模式，掌握Struts2、Ajax等相关技术；5、熟练应用一种以上主流J2EE应用服务器的部署，如Apache、WebLogic、Tomcat等；6、熟练掌握Oracle数据库，熟练使用Sql查询及存储过程；7、具有一定的设计能力和需求分析能力，熟悉面向对象编程思想，代码稳定性和可维护性好；8、具有较强的沟通表达能力和良好的职业素质。"
青岛,8K-15K,java开发工程师,岗位职责：1、遵循开发规范，根据开发进度和任务分配，完成相应模块的开发任务；2、进行程序单元、功能的测试，查出功能存在的缺陷并保证其质量；3、进行编制研发过程文档和质量记录的工作；4、维护产品使之保持可用性和稳定性。任职资格：1、学历及专业要求：全日制统招本科及以上学历，计算机类相关专业，1年以上JAVA程序开发经验，具有较大规模软件项目开发经验为佳。2、精通J2EE前端和后端开发相关技术，熟悉相关开发框架，Spring MVC、Spring、hibernate、mybatis等，熟悉HTML、CSS、JS等页面语言，至少熟悉一种前端开发框架。3、熟悉Oracle、Mysql等数据库，熟练运用SQL；4、熟练使用诸如Tomcat、MQ、缓存等常用中间件；5、熟悉软件开发流程，熟悉软件技术文档的编写，具备良好的文档编制习惯和代码书写规范。福利待遇：1.公司为员工缴纳六险两金（住房公积金、企业年金、五项社会保险、补充医疗保险）、定期组织体检，开展团建活动，发放节假日福利、取暖补贴、高温补贴、劳保福利等；2.公司为员工提供青岛当地富有竞争力的报酬；3.公司为员工提供畅通的职业发展及系统的培训。
广州-海珠区,8K-10K,JAVA后台开发工程师,"岗位职责：1）参与软件系统的需求调研和需求分析工作；2）负责系统后台API框架的搭建与优化；3）负责公司项目网站后台的搭建和优化；4）负责系统业务逻辑的程序编码工作；5）负责解决开发过程中遇到的技术问题；6）负责按照公司的软件开发规范编写相关项目技术文档；任职要求：1、计算机相关专业本科及以上学历，3年以上后台API开发经验，有扎实的编程基本功；2、精通JSP,Servlet,Spring MVC,Hibernate,iBATIS等主流框架,熟悉常用设计模式;3、熟练掌握MySQL、SQL Server、redis中任一款数据库;4、熟悉CSS/JS等网页技术，熟练掌握jQuery或其他前端框架；5、按系统设计文档进行需求分析、方案设计，有较强的流程优化经验;6、具备优秀的思维能力、分析设计能力，具备良好的团队合作精神；7、社区类型程序api开发经验优先，有高并发、大容量系统的设计和开发经验者优先。"
大连,4.2K-4.5K,Java开发工程师（可实习）双休,1.参与公司项目的开发和基础平台建设工作；2.根据开发规范与流程完成模块的编码；3、具有良好的学习能力，完成分配的调研任务和学习任务。岗位要求:1.大专及以上学历，有良好的代码编写习惯，熟悉软件开发规范2.熟练掌握java核心技术熟悉3.热衷于互联网WEB开发，热衷于钻研最新的前沿技术，进取心强者优先！4.具有良好的沟通能力。工作时间：1、常规工作时间：周一至周五，8:30-17:30，周末双休；2、法定节假日正常休息；福利待遇：1、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！2、为员工购买五险一金，让员工无后顾之忧！
地点,薪资,职位,岗位需求
地点,薪资,职位,岗位需求
地点,薪资,职位,岗位需求
地点,薪资,职位,岗位需求
地点,薪资,职位,岗位需求
地点,薪资,职位,岗位需求
杭州,6K-8K,java软件开发工程师,"['熟悉', '熟练', 'Java', '经验', '设计', '开发', '优先', '框架', '服务器端', '设计模式', '源码', '单元测试', 'Bug', 'oracle', 'erp', 'springmvc', 'mybatis', 'javascript', 'CSS', 'HTML']"
济南,6K-10K,JAVA开发工程师,"['软件开发', '能力', '享受', '具备', '经费', '舒适', '软件', '免费', '技术', '活动', '团队', '主流', '熟悉', '开发技术', '各类', '设计模式', '带薪', '入托', '个人档案', '功能设计']"
济南,12K-16K,java开发工程师,"['Java', '开发', '熟练', '经验', '相关', '代码', '技术', '优化', '面向对象编程', 'Web', 'J2EE', 'mysql', 'SpringBoot', '负责', '设计', '文档', '模块', '数据库', '编码', '深入研究']"
北京-朝阳区,20K-25K,java开发工程师,"['框架', '协作', '精通', '技术', '开源', '分布式', '熟悉', '数据库', '开发', '测试', '主流', '产品', '服务器端', '敬业精神', '组及', '运维组', '1.5', 'Java', 'J2EE', 'mybatis']"
长春,4K-8K,java开发工程师（职业教育事业部）,"['JAVA', '开发', '负责', '代码', '文档', '软件', '项目', '升级', '熟悉', '二年', '维护', '计算机相关', 'web', 'SpringMVC', 'Oracle', 'SQLServer', 'Mysql', '岗位职责', '团队精神', '经验']"
南京,8K-12K,java高级工程师,"['面向对象编程', '理解', 'Java1', '本科学历', 'JAVA', 'hibernate', 'spring', '表达能力', '全日制', '笔试', '四级', '面试', '熟练', '英语', '沟通', '熟悉', '现场', '经验', '大学', '能力']"
北京-海淀区,15K-25K,中高级Java开发工程师,"['分项', '后台', '开发', '系统', '项目', 'cdn', '本科学历', 'Java', 'Spring', 'SpringMVC', 'mybaits', 'redis', 'rocketmq', 'Dubbo', 'zookeeper', 'mysql', 'Maven', 'Nginx', 'java', 'Prototype']"
北京,10K-18K,Java开发工程师（支付方向）,"['负责', '精通', '商业软件', '沟通', '熟悉', '收单', 'Java', 'Spring', 'Oracle', 'Unix', 'Linux', 'zookeeper', 'redis', 'kafka', '岗位职责', '账务', '经验', '软件产品', '大学本科', '开发']"
南京-雨花台区,10K-15K,高级java开发工程师,"['能力', '熟悉', '数据库', 'Spring', 'SpringMVC', 'mybatis', 'MySQL', 'ORACLE', 'SQL', 'Linux', 'hadoop', '有大', '抗压', '经验', '深刻理解', '相关', '数据', '技术', '交互', '熟练']"
西安-高新技术产业开发区,8K-10K,java中级工程师,"['熟悉', '前端', '项目', '经验', 'maven', '文档', '熟练', '开发', '优先', '框架', '技术', '类库', '关系数据库', '插件', '计算机相关', 'javaweb', 'spring', 'springmvc', 'mybatis', 'hibernate']"
烟台,5K-8K,java工程师,"['数据库', '熟悉', 'java', '软件产品', '编程', '编码', '扎实', '公安', '监控', '研发', '电力', '设计模式', 'spring', 'web', 'html', 'js', 'jquery', 'css', 'mysql', 'oracle']"
无锡,10K-15K,java开发工程师,"['熟练', 'Java', 'Spring', '优先', '熟悉', 'J2EE', 'Struts', 'hibernate', 'ibatis', 'JQuery', 'Javascript', 'tomcat', 'Web', '应用服务器', 'MySQL', 'postgres', 'SQL', '前端开发', '开发', '熟练掌握']"
郑州,8K-10K,高薪急聘java软件工程师,"['熟悉', '精通', 'JAVA', '软件产品', '开发', '多线程', '常见', '维护', '中间件', 'java', '8K', '12K', 'Java', 'WEB', 'JSP', 'SERVLET', 'JDBC', 'XML', '编程技术', 'SQL']"
天津,10K-20K,JAVA架构/高级Java,"['项目', 'JAVA', '进度', '负责', '经验', '开发', '项目管理', '实施', '团队', '沟通', '研发', '敬业精神', '熟悉', '开发人员', '电商', '数练', 'ssm', 'ssh', 'web', 'mysql']"
南京,6K-10K,Java工程师,"['java', '熟悉', '设计', '设计模式', '编程', '数据库', '编码', '经验', '开发', '独立', '优先', '相关', '代码', '常用', '语言', '条件者', 'Java', 'SSM', 'spring', 'SQL']"
西安,6K-10K,Java高级开发工程师,"['精通', '熟悉', '享受', '语言', '福利', '员工', '人际沟通', '设计模式', '基本工资', '带薪', 'Java', 'BS', 'javascript', 'html', '应用服务器', 'Tomcat', 'jetty', 'SQL', 'SQLserver', 'Oracle']"
合肥,6K-12K,Java开发工程师,"['开发', '司法', 'FutureData', 'Java', '文档', '人工智能', '熟练', '大学', '致力于', '代码', '团队', '测试人员', '数据服务', '北京科技大学', '规范', '设计模式', '华东政法', 'IBM', 'Cisco', 'Murex']"
福州,10K-15K,java工程师,"['编程', '开发', '经验', '优先', '熟练掌握', '熟悉', '设计', '独立', '参与', '双休', '部署', '调薪', '缴交', '企业级', '300', '5A', '台江区', '曙光路', '132', '申发']"
杭州-余杭区,20K-40K,高级Java开发工程师/技术专家,"['经验', '架构设计', 'Java', '熟练', '扎实', '岗位', '优先', '框架', '技术', '团队', '多线程', '计算机', '常用工具', '常用', '关系数据库', '维护', 'IO', 'JVM', 'Spring', 'MyBatis']"
杭州-余杭区,15K-25K,高级Java开发工程师,"['业务', '系统', '熟悉', '难点', '设计', '岗位', '多线程', '可扩展性', '脚本语言', '预研', 'Java', 'io', '缓存', '可用性', '保障系统', '分布式', '重构', '敏感度', '攻关', '数据分析']"
杭州-余杭区,10K-15K,Java对接开发工程师,"['熟练', '现场', '医院', '系统', '部署', '熟悉', '维护', '医院软件', '计算机相关', 'JAVA', 'Java', 'J2EE', 'Spring', 'Struts', 'ibatis', 'javaIDE', 'tomcat', 'Web', '应用服务器', 'nginx']"
杭州-余杭区,15K-20K,高级java开发工程师,"['业务', '系统', '熟悉', '难点', '设计', '多线程', '可扩展性', '脚本语言', '预研', 'Java', 'io', '缓存', '可用性', '保障系统', '分布式', '重构', '敏感度', '攻关', '数据分析', '构架']"
杭州-余杭区,6K-12K,Java对接开发工程师,"['熟练', '现场', '医院', '岗位', '系统', '部署', '熟悉', '维护', '医院软件', '计算机相关', 'JAVA', 'Java', 'J2EE', 'Spring', 'Struts', 'ibatis', 'javaIDE', 'tomcat', 'Web', '应用服务器']"
济南,6K-12K,java开发工程师,"['熟悉', 'J2EE', 'Spring', 'SpringMVC', 'MyBatis', 'SpringBoot', 'Shiro', 'Activiti', 'Redis', 'EHCache', 'java', 'TCP', 'UDP', '服务端', '经验', '缓存', '开源', '网络通信', '文档', '熟练']"
北京,15K-30K,高级JAVA工程师,"['开发', 'JAVA', '设计', '熟悉', '负责', '经验', '多线程', '工作勤奋', '读写能力', '意识', '设计模式', '中间件', '调优', 'Java', 'TCP', 'UDP', 'SIP', 'socket', 'linux', 'ORACLE']"
深圳,15K-20K,Java开发工程师,"['开发', '熟悉', '后台', '编写', '多线程', '部署', '双机', 'JAVA', '计算机相关', 'tcp', 'udp', 'socket', 'mqtt', 'openfire', 'ice', 'tomcat', '服务器程序', 'linux', 'mysql', '微信']"
成都,5K-9K,Java软件开发工程师,"['投递', '熟练', 'SQL', '公司地址', '优先', '开发', '相关', '福利', '交付', '双休', '读写能力', '行业软件', '熟悉', '规范', '时请', '无故缺席', '高朋', 'A座', '五险', '一金']"
青岛,3.5K-7K,初级Java软件开发工程师,"['加班', '熟练', '00', '开发', '熟悉', '公司', '优先', '青岛', '双休', '应届生', '智联', '专业', '中间件', '员工福利', '开发进度', '试用期', '任务分配', '单元测试', '信息工程', '计算机相关']"
北京,15K-20K,JAVA开发工程师,"['客户', '熟悉', '点赞', '负责', '经验', '设计', '合作', '系统', '框架', '公司', '创业', '生活', '团建', '沟通', '产品', '全勤奖', '现有', '维护', '具备', '带薪']"
